"","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","T_price"
"1744",2017,9998,"Manual",5829,"Petrol",125,52.3,1,26.5466052083554
"2028",2017,12498,"Manual",37889,"Diesel",30,64.2,1.5,27.9866420954284
"15449",2017,19000,"Manual",8938,"Petrol",145,41.5,2,30.8691202100685
"9559",2019,17515,"Semi-Auto",3711,"Petrol",145,48.7,1,30.2900304155197
"4956",2018,12995,"Manual",18300,"Petrol",145,57.7,1,28.2449176188192
"14928",2017,16499,"Manual",32253,"Diesel",145,67.3,2,29.8707693154766
"3708",2017,9399,"Manual",23534,"Petrol",145,65.7,1,26.1592025434055
"6925",2018,13295,"Manual",11097,"Petrol",145,62.8,1,28.3970166176914
"10940",2018,11200,"Manual",14338,"Petrol",150,62.8,1,27.271088092617
"15819",2019,17299,"Automatic",24277,"Diesel",145,37.2,2,30.2025564892917
"14052",2014,4490,"Manual",51000,"Petrol",30,54.3,1.2,21.879381576976
"5372",2016,10590,"Semi-Auto",9975,"Petrol",165,44.8,1.5,26.9116453176454
"12524",2019,17990,"Manual",2972,"Petrol",145,58.9,1,30.479397568255
"10533",2018,9679,"Manual",14044,"Petrol",150,64.2,1.1,26.3426780966108
"14966",2018,10800,"Manual",29783,"Petrol",145,56.5,1,27.0372149753681
"11219",2019,11299,"Manual",2516,"Petrol",145,43.5,1.2,27.3279381145616
"8726",2018,8990,"Manual",15141,"Petrol",150,64.2,1.1,25.8831750215715
"15460",2018,10000,"Manual",14005,"Petrol",145,55.4,1.1,26.5478672240097
"7249",2017,12245,"Manual",18534,"Petrol",145,47.9,1.6,27.8519960719986
"13325",2019,23000,"Automatic",16700,"Petrol",145,40.9,1.5,32.2662395693927
"3606",2019,14440,"Manual",9525,"Petrol",145,58.9,1,28.953413535789
"1433",2018,12991,"Manual",21528,"Petrol",145,61.4,1,28.2428707385341
"10924",2016,9399,"Manual",17693,"Diesel",20,68.9,1.5,26.1592025434055
"329",2016,9698,"Manual",36860,"Diesel",20,68.9,1.5,26.3549736609386
"7083",2015,6450,"Manual",62190,"Petrol",0,65.7,1,23.8989422583665
"2982",2017,8180,"Manual",10299,"Petrol",145,64.2,1.1,25.3054449700729
"1615",2016,13991,"Manual",38554,"Diesel",145,54.3,2,28.7395864939654
